league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Germany - Oberliga Hessen,,,,,,,,,,,,,,,,,,,,,17.59,,18.8,,23.18,,19.74,,20.26,,21.86,,
Germany - Oberliga Mittelrhein,,,,,,,,,,,,,,,,,,,,,21.48,,25.0,,16.67,,20.83,,20.0,,17.16,,
Germany - Oberliga Niederrhein,,,,,,,,,,,,,,,,,,,,,20.69,,16.04,,16.21,,23.1,,20.22,,21.74,,
Germany - Oberliga Niedersachsen,,,,,,,,,,,,,,,,,,,,,20.92,,26.83,,23.33,,19.93,,20.59,,25.71,,
Germany - Oberliga Nordost-Nord,,,,,,,,,,,,,,,,,,,,,21.48,,17.33,,20.0,,23.53,,17.14,,18.59,,
Germany - Oberliga Nordost-Süd,,,,,,,,,,,,,,,,,,,,,17.01,,17.5,,23.3,,25.82,,17.08,,21.79,,
Germany - Oberliga Rheinland-Pfalz / Saar,,,,,,,,,,,,,,,,,,,,,18.09,,23.0,,19.32,,20.91,,18.42,,16.67,,
Germany - Oberliga Schleswig-Holstein,,,,,,,,,,,,,,,,,,,,,14.84,,26.67,,16.54,,15.44,,19.58,,21.51,,
Germany - Oberliga Westfalen,,,,,,,,,,,,,,,,,,,,,26.92,,14.94,,19.05,,23.86,,19.61,,18.3,,
Germany - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,50.0,,0.0,,50.0,,,,
Germany - Regionalliga,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,0.0,,0.0,,0.0,,,,
Germany - Regionalliga Bayern,,,,,,,22.89,,23.68,,28.43,,28.43,,23.86,,22.51,,25.16,,21.53,,,,23.16,,20.79,,20.26,,25.57,,
Germany - Regionalliga Nord,,,20.59,,24.18,,22.92,,25.82,,27.12,,26.47,,25.82,,24.18,,23.2,,19.43,,13.27,,25.0,,22.51,,24.51,,23.32,,
Germany - Regionalliga Nordost,,,,,,,32.5,,21.25,,23.75,,23.53,,25.82,,28.43,,21.57,,29.33,,24.79,,23.95,,24.51,,24.84,,26.03,,
Germany - Regionalliga Südwest,,,22.92,,21.9,,27.19,,25.16,,19.28,,21.57,,21.93,,24.56,,22.88,,21.67,,24.89,,22.51,,24.51,,23.2,,23.61,,
Germany - Regionalliga West,,,26.14,,24.56,,21.05,,28.36,,26.8,,26.9,,27.12,,26.14,,27.45,,21.33,,28.1,,24.47,,20.59,,23.86,,25.12,,
Germany - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,100.0,,,
Ghana - Premier League,,,,,,,,,23.33,,,23.75,,27.5,,25.42,,25.0,,,30.08,,26.8,,30.39,,24.51,,24.84,,31.38,,
Greece - Beta Ethniki Notios,,,,,,,,,23.63,,20.51,,,,,,,,,,,,,,,,,,,,,,
Greece - Beta Ethniki Voreios,,,,,,,,,19.78,,23.08,,,,,,,,,,,,,,,,,,,,,,
Greece - Play-off,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,50.0,,,,,,,,
Greece - Super League,23.33,,27.08,,23.33,,26.25,,22.55,,23.53,,26.67,,27.5,,30.0,,22.92,,26.37,,26.37,,22.53,,29.12,,26.92,,23.08,,
Greece - Super League 2,,,23.53,,23.61,,31.67,,,,,,22.88,,21.02,,19.54,,24.27,,15.83,,29.55,,27.57,,23.74,,23.86,,27.78,,
