league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
France - CFA - Group A,,,,,,,,,,,,,,,,,,,,,44.05,,38.57,,46.25,,55.83,,42.31,,44.89,,
France - CFA - Group B,,,,,,,,,,,,,,,,,,,,,43.71,,47.83,,42.5,,49.17,,47.25,,45.4,,
France - CFA - Group C,,,,,,,,,,,,,,,,,,,,,40.0,,47.83,,43.33,,47.08,,54.4,,43.68,,
France - CFA - Group D,,,,,,,,,,,,,,,,,,,,,43.45,,35.71,,42.08,,39.17,,49.45,,,,
France - Coupe de France,,,,,,,60.32,,52.38,,50.79,,58.73,,68.25,,59.68,,57.14,,65.08,,49.21,,40.98,,48.72,,66.83,,58.38,,
France - Coupe de la Ligue,,,,,,,,,54.55,,60.0,,75.0,,41.67,,36.36,,33.33,,58.33,,,,,,,,,,,,
France - Ligue 1,43.16,,41.58,,44.21,,46.05,,43.68,,44.74,,44.21,,48.42,,51.84,,48.16,,47.31,,54.21,,50.26,,56.32,,52.94,,53.65,,
France - Ligue 2,41.32,,40.0,,41.84,,44.21,,44.21,,37.11,,42.63,,43.95,,50.26,,38.16,,38.93,,41.32,,40.79,,43.68,,46.84,,46.5,,
France - National,,,42.38,,44.47,,44.21,,37.58,,43.46,,40.85,,43.14,,38.6,,38.24,,43.69,,39.22,,47.06,,43.79,,46.08,,38.0,,
France - Play-off,,,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,,,75.0,,,,
France - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,,0.0,,
Georgia - Play-off,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,25.0,,75.0,,50.0,,,
Georgia - Premier League,,,36.67,,47.73,,46.21,,45.45,,47.5,,51.67,50.0,,57.22,,52.78,,49.44,,47.78,,46.67,,51.11,,62.78,,48.89,,35.29,
Germany - 2. Bundesliga,50.0,,53.59,,51.96,,50.0,,49.02,,45.42,,47.06,,45.75,,51.96,,57.19,,53.92,,60.13,,59.48,,57.84,,60.78,,59.4,,
